player_id,age,account_type,join_date,total_sessions,avg_session_mins,total_playtime_mins,max_level,num_purchases,total_spent_usd,churned,days_since_joined,playtime_per_session,purchase_rate,is_high_spender,engagement_score,account_type_encoded,device_Mobile,device_PC,country_Brazil,country_Canada,country_Germany,country_India,country_UK,country_USA
1,-0.3942317457759373,Free,2023-06-16,1.8488483288354136,0.10079990821599512,-0.2533881281198634,0.665370111104095,-0.9523852653582328,-0.6302975557639954,0,-1.4282546501244118,-0.7198880556815158,-0.8495178464318528,0,1.1621891155662325,0,1,0,0,0,1,0,0,0
2,0.04126314047199139,Free,2023-01-19,0.6854273280999587,0.21660582526182157,0.6636124413422954,-0.038352904341802004,0.7068225140115106,0.32257240953279526,0,1.3931397281995956,0.7356290360723574,-0.20474102357415114,1,0.5848669618561337,0,0,0,0,0,1,0,0,0
3,-0.06761058108999078,Premium,2023-04-06,-0.6934420061050252,-0.7890771385572021,-0.6358850035708603,0.3135086033811465,-0.6205437094842841,-0.624566324620287,1,-0.07474788755005683,-0.7748843019020296,-0.3076885835262211,0,-0.4961970710716006,1,1,0,0,0,0,0,1,0
4,-1.1563477967098126,Free,2023-03-03,-0.6503523394111195,-0.6245108353868162,-0.6285795612326514,-0.3902144120647505,-0.9523852653582328,-0.6302975557639954,1,0.5734102804432962,-0.7647137632174139,-0.8495178464318528,0,-0.6829777678601618,0,0,1,0,1,0,0,0,0
5,-1.374095239833777,Premium,2023-06-06,1.5903103286719793,-0.17957231200021803,2.7152353350571135,0.4894393572426207,2.0341887375073053,3.0333504768367368,0,-1.237619894832249,1.962497350731354,-0.07470200047679956,1,1.9036518816056731,1,1,0,0,1,0,0,0,0
6,1.5654952423397417,Free,2023-06-18,1.8919379955293194,0.5518334798681628,0.26368974013043295,0.4894393572426207,-0.28870215361033535,-0.39196129221543796,0,-1.466381601182844,-0.30967632873535433,-0.6923873601892196,0,1.29802962232155,0,1,0,0,0,0,0,0,1
7,-0.17648430265197296,Free,2023-03-06,-1.0381593396562712,4.84274745882933,-0.6661791314320572,-4.612552504740132,-0.9523852653582328,-0.6302975557639954,1,0.5162198538556474,-0.42682586691740776,-0.8495178464318528,0,-2.2055234477426775,0,1,0,0,0,0,1,0,0
8,1.0211266345298309,Premium,2023-06-30,-0.5210833393294022,-0.06986144321996023,-0.6034461586929415,0.4894393572426207,-0.6205437094842841,-0.5374440701423093,1,-1.6951433075334394,-0.73043528098408,-0.46481906976885434,0,-0.33205645874225864,1,0,1,0,0,0,0,0,1
9,-1.1563477967098126,Premium,2023-03-19,2.0212069956110366,-0.46603958048199984,-0.2736959173719489,0.3135086033811465,-0.6205437094842841,0.18471744779258328,0,0.26839467197583594,-0.7549199111507471,-0.7736617496250643,0,1.145209052221818,1,0,1,0,0,0,0,0,0
10,-1.374095239833777,Free,2023-02-13,-0.5210833393294022,-0.06986144321996023,-0.260291436017437,0.4894393572426207,0.7068225140115106,-0.3102987895112036,0,0.916552839969189,0.6471076808544071,1.0848126221412522,0,-0.22451605756096563,0,0,1,0,0,1,0,0,0
